Name,Address,Chinese Name,City,Day,Description,Duration,Group,Notes,Status,Style,Time,Type,Visited,userDefined:URL
Pismo Beach,"Pismo Beach, CA 93449",皮斯莫比奇,Pismo Beach,Day 4,经典加州海滩小镇。以蛤蜊杂烩汤(clam chowder)闻名,1h,Central Coast,,pending,nature,11:30-12:30,Attractions,No,"https://maps.google.com/?q=Pismo+Beach,+CA+93449"
Solvang,"Mission Dr, Solvang, CA 93463",索尔万,Solvang,Day 4,1911年丹麦移民建立的小镇，风车、半木结构建筑、丹麦糕点店。代表了加州多元文化中的北欧面,1.5h,Central Coast,,pending,culture,13:00-14:30,Attractions,No,"https://maps.google.com/?q=Mission+Dr,+Solvang,+CA+93463"
Monterey,"Cannery Row, Monterey, CA 93940",蒙特雷,Monterey,Day 2,Cannery Row渔人街区、Steinbeck小说背景地。与Aquarium在同一区域，可以一并游览,2.5h,Highway 1 North,,pending,culture,14:30-17:00,Attractions,No,"https://maps.google.com/?q=Cannery+Row,+Monterey,+CA+93940"
Anthropic HQ,"500 Howard St, San Francisco, CA 94105",Anthropic总部,San Francisco,Day 9,"Claude的创造者！Howard Street上多栋办公楼（500, 505, 300 Howard St），形成AI campus。外部打卡——你正在用Claude规划这趟旅行",30min,San Francisco,,pending,tech,09:30-10:00,Attractions,No,"https://maps.google.com/?q=500+Howard+St,+San+Francisco,+CA+94105"
Mission District,"Valencia St & 24th St, San Francisco, CA 94110",教会区,San Francisco,Day 9,Clarion Alley壁画群记录拉丁裔社区历史。La Taqueria美国最佳burrito。Mission Dolores是SF最古老建筑（1776年）,2h,San Francisco,,pending,culture,12:00-14:00,Attractions,No,"https://maps.google.com/?q=Valencia+St+%26+24th+St,+San+Francisco,+CA+94110"
SpaceX Headquarters (exterior),"1 Rocket Rd, Hawthorne, CA 90250",SpaceX总部（外观）,Hawthorne,Day 5,门口展示猎鹰9号助推器。不对公众开放，外部打卡。位于Hawthorne，LA南部,30min,Los Angeles,,pending,tech,18:00-18:30,Attractions,No,"https://maps.google.com/?q=1+Rocket+Rd,+Hawthorne,+CA+90250"
Big Trees Trail (morning hike),"Generals Highway, Sequoia National Park, CA 93262",大树步道（晨间徒步）,Sequoia NP,Day 8,1.3mi环线，围绕Round Meadow。轻松的告别步道，在出发回SF前最后感受一下巨杉,1h,Sequoia,10:00出发回SF，预计15:00-16:00到达（Three Rivers出发更快）,pending,nature,08:30-09:30,Attractions,No,"https://maps.google.com/?q=Generals+Highway,+Sequoia+National+Park,+CA+93262"
Elephant Seal Rookery,"Piedras Blancas, Highway 1, San Simeon, CA 93452",象海豹栖息地,San Simeon,Day 3,免费！Piedras Blancas海岸数百只象海豹聚集，场面非常震撼。4月份可能看到幼崽,45min,Big Sur & Coast,,pending,nature,16:00-16:45,Attractions,No,"https://maps.google.com/?q=Piedras+Blancas,+Highway+1,+San+Simeon,+CA+93452"
Tokopah Falls Trail,"Lodgepole Area, Sequoia National Park, CA 93262",托科帕瀑布步道,Sequoia NP,Day 7,3.6mi往返徒步，春季水量充沛，瀑布壮观。Sequoia公园内最推荐的中等难度步道,3h,Sequoia,,pending,nature,11:00-14:00,Attractions,No,"https://maps.google.com/?q=Lodgepole+Area,+Sequoia+National+Park,+CA+93262"
Serra Cross,"Grant Park, Ventura, CA 93001",Serra Cross,Ventura,Day 5,Grant Park山顶的历史十字架，俯瞰Ventura市区和太平洋。SB→LA路上顺路停靠,30min,Los Angeles,,pending,landmark,09:30-10:00,Attractions,No,"https://maps.google.com/?q=Grant+Park,+Ventura,+CA+93001"
Monterey Bay Aquarium,"886 Cannery Row, Monterey, CA 93940",蒙特雷湾水族馆,Monterey,Day 2,世界级水族馆，以海獭展和巨型海藻森林闻名。需提前买票。Cannery Row本身也是Steinbeck小说背景地,2.5h,Highway 1 North,,pending,nature,14:30-17:00,Attractions,No,"https://maps.google.com/?q=886+Cannery+Row,+Monterey,+CA+93940"
Grand Central Market,"317 S Broadway, Los Angeles, CA 90013",中央大市场,Los Angeles,Day 5,自1917年运营的食品市场，30+摊位浓缩LA多元饮食文化。Eggslut和Tacos Tumbras是必吃,1.5h,Los Angeles,,pending,food,16:00-17:30,Food,No,"https://maps.google.com/?q=317+S+Broadway,+Los+Angeles,+CA+90013"
Hearst Castle,"750 Hearst Castle Rd, San Simeon, CA 93452",赫斯特城堡,San Simeon,Day 3,报业大亨William Randolph Hearst的私人城堡，Citizen Kane的原型。需提前预约，$30/人起,2h,Big Sur & Coast,,pending,culture,17:00-19:00,Attractions,No,"https://maps.google.com/?q=750+Hearst+Castle+Rd,+San+Simeon,+CA+93452"
Moro Rock,"Moro Rock, Sequoia National Park, CA 93262",莫罗岩,Sequoia NP,Day 6,350级花岗岩台阶登顶，360度全景俯瞰Great Western Divide。日落时分最佳。注意恐高,1h,Sequoia,,pending,nature,17:00-18:00,Attractions,No,"https://maps.google.com/?q=Moro+Rock,+Sequoia+National+Park,+CA+93262"
Golden Gate Bridge / Battery Spencer Viewpoint,"Conzelman Rd, Sausalito, CA 94965",金门大桥 / Battery Spencer观景台,San Francisco,Day 1,SF的标志性地标，Battery Spencer是北侧最佳观景点，日落时分金门大桥在暖光下格外壮观。到达当晚即可打卡,1h,San Francisco,需要航班在17:00前落地才有足够时间（SFO→Battery Spencer约30min）,pending,nature,18:30-19:30,Attractions,No,"https://maps.google.com/?q=Conzelman+Rd,+Sausalito,+CA+94965"
Santa Monica,"Santa Monica Pier, Santa Monica, CA 90401",圣莫尼卡,Santa Monica,Day 5,Route 66的终点（'End of the Trail'标志在Santa Monica Pier上）。代表美国公路文化的终极浪漫。到达LA前的第一站,1h,Los Angeles,,pending,culture,11:00-12:00,Attractions,No,"https://maps.google.com/?q=Santa+Monica+Pier,+Santa+Monica,+CA+90401"
Half Moon Bay,"Half Moon Bay, CA 94019",半月湾,Half Moon Bay,Day 2,海岸线小镇，适合早晨散步。如果走海岸线路线（而非先去Stanford），这是第一站,1h,Highway 1 North,,pending,nature,09:00-10:00,Attractions,No,"https://maps.google.com/?q=Half+Moon+Bay,+CA+94019"
McWay Falls,"Julia Pfeiffer Burns State Park, Big Sur, CA 93920",麦克韦瀑布,Big Sur,Day 3,80英尺高的瀑布直落入太平洋海滩——加州唯一的'潮汐瀑布'。位于Julia Pfeiffer Burns State Park内,30min,Big Sur & Coast,,pending,nature,14:30-15:00,Attractions,No,"https://maps.google.com/?q=Julia+Pfeiffer+Burns+State+Park,+Big+Sur,+CA+93920"
Fisherman's Wharf & Pier 39,"Jefferson St & Taylor St, San Francisco, CA 94133",渔人码头 & 39号码头,San Francisco,Day 9,Pier 39海狮群（1989年地震后自发聚集）。Boudin酸面包碗蛤蜊汤是SF代表性美食,1.5h,San Francisco,16:30前结束，留充裕时间还车+去SFO（约30min）。航班22:00,pending,culture,14:30-16:00,Attractions,No,"https://maps.google.com/?q=Jefferson+St+%26+Taylor+St,+San+Francisco,+CA+94133"
Beetle Rock / Sunset Rock,"Giant Forest Museum, Sequoia National Park, CA 93262",甲虫岩 / 日落岩,Sequoia NP,Day 7,从Giant Forest Museum出发的日落观景点。Sunset Rock是公园内最佳日落拍摄地,1.5h,Sequoia,公园内餐饮极少，自带午餐和水,pending,nature,17:00-18:30,Attractions,No,"https://maps.google.com/?q=Giant+Forest+Museum,+Sequoia+National+Park,+CA+93262"
Crescent Meadow,"Crescent Meadow, Sequoia National Park, CA 93262",新月草甸,Sequoia NP,Day 7,John Muir称之为'Sierra的宝石'。Crescent & Log Meadows Trail 1.8mi环线，适合野餐,1.5h,Sequoia,,pending,nature,09:00-10:30,Attractions,No,"https://maps.google.com/?q=Crescent+Meadow,+Sequoia+National+Park,+CA+93262"
Carmel-by-the-Sea,"Ocean Ave, Carmel-by-the-Sea, CA 93921",卡梅尔海,Carmel,Day 2,艺术家小镇，欧式建筑风格，无门牌号的街道。前市长是Clint Eastwood。适合晚餐后散步，是当晚住宿点,2.5h,Highway 1 North,,pending,culture,17:30-20:00,Attractions,No,"https://maps.google.com/?q=Ocean+Ave,+Carmel-by-the-Sea,+CA+93921"
Morro Bay & Morro Rock,"Morro Bay, CA 93442",莫罗贝 & 莫罗岩,Morro Bay,Day 4,576英尺高的火山岩矗立于海湾中央，被原住民视为圣地。清晨海雾中的Morro Rock有一种神秘感,1h,Central Coast,,pending,nature,08:30-09:30,Attractions,No,"https://maps.google.com/?q=Morro+Bay,+CA+93442"
Din Tai Fung (Santa Monica),"395 Santa Monica Pl, Santa Monica, CA 90401",鼎泰丰,Santa Monica,Day 5,世界级小笼包连锁，Santa Monica门店靠近海滩。招牌小笼包、虾仁炒饭、酸辣汤。比Alhambra门店排队短,1h,Los Angeles,Santa Monica Place 3楼。可能需排队30-45min,pending,food,12:00-13:00,Food,No,"https://maps.google.com/?q=395+Santa+Monica+Pl,+Santa+Monica,+CA+90401"
China Village (Monterey),"5 Soledad Dr, Monterey, CA 93940",中华村,Monterey,Day 2,Monterey地区口碑最好的中餐馆，提供粤菜和川菜。本地华人推荐，非游客导向,1h,Highway 1 North,,pending,food,17:30-18:30,Food,No,"https://maps.google.com/?q=5+Soledad+Dr,+Monterey,+CA+93940"
Sightglass Coffee (SF Mission),"270 7th St, San Francisco, CA 94103",Sightglass咖啡,San Francisco,Day 9,SF Mission District的标志性精品咖啡馆。工业风空间，自家烘焙。Mission District参观中途的咖啡补给,30min,San Francisco,,pending,food,11:30-12:00,Food,No,"https://maps.google.com/?q=270+7th+St,+San+Francisco,+CA+94103"
R/SF (Chinatown dim sum),"631 Kearny St, San Francisco, CA 94108",龙凤酒楼,San Francisco,Day 9,旧金山唐人街经典早茶，推车式点心服务。虾饺、烧卖、叉烧包、凤爪。比Great Eastern价格更亲民，氛围更传统,1h,San Francisco,,pending,food,10:00-11:00,Food,No,"https://maps.google.com/?q=631+Kearny+St,+San+Francisco,+CA+94108"
Big Sur Bakery & Coffee,"47540 CA-1, Big Sur, CA 93920",大瑟尔面包咖啡,Big Sur,Day 3,Big Sur唯一的精品咖啡+烘焙店。自制糕点和手冲咖啡。出发前在Carmel附近补充咖啡因,30min,Big Sur & Coast,,pending,food,08:00-08:30,Food,No,"https://maps.google.com/?q=47540+CA-1,+Big+Sur,+CA+93920"
Blue Bottle Coffee (SF Ferry Building),"1 Ferry Building, San Francisco, CA 94111",蓝瓶咖啡,San Francisco,Day 1,Blue Bottle发源于SF的精品咖啡。Ferry Building门店是最经典的位置，到达后第一杯咖啡,30min,San Francisco,,pending,food,17:00-17:30,Food,No,"https://maps.google.com/?q=1+Ferry+Building,+San+Francisco,+CA+94111"
Mandarin Gourmet (SLO),"861 Palm St, San Luis Obispo, CA 93401",满江红,San Luis Obispo,Day 4,San Luis Obispo最好的中餐馆，提供正宗川菜和湘菜。份量大，价格合理。本地大学生和华人常去,1h,Central Coast,,pending,food,11:30-12:30,Food,No,"https://maps.google.com/?q=861+Palm+St,+San+Luis+Obispo,+CA+93401"
Intelligentsia Coffee (LA),"3922 W Sunset Blvd, Los Angeles, CA 90029",知识分子咖啡,Los Angeles,Day 5,LA精品咖啡先驱，Silver Lake旗舰店。Griffith Observatory下山后的完美咖啡站,30min,Los Angeles,,pending,food,15:30-16:00,Food,No,"https://maps.google.com/?q=3922+W+Sunset+Blvd,+Los+Angeles,+CA+90029"
Scout Coffee (SLO),"1130 Garden St, San Luis Obispo, CA 93401",Scout咖啡,San Luis Obispo,Day 4,San Luis Obispo最佳精品咖啡。本地烘焙，Flat White和Cold Brew是招牌。Morro Bay出发后的咖啡站,30min,Central Coast,,pending,food,09:30-10:00,Food,No,"https://maps.google.com/?q=1130+Garden+St,+San+Luis+Obispo,+CA+93401"
Z & Y Restaurant,"655 Jackson St, San Francisco, CA 94133",东来顺,San Francisco,Day 1,旧金山唐人街最受好评的川菜馆，以麻辣水煮鱼和椒盐虾闻名。Zagat推荐。适合到达当晚的正餐,1.5h,San Francisco,,pending,food,20:00-21:30,Food,No,"https://maps.google.com/?q=655+Jackson+St,+San+Francisco,+CA+94133"
Haidilao Hot Pot (Cupertino),"10787 S Blaney Ave, Cupertino, CA 95014",海底捞火锅,Mountain View,Day 2,硅谷唯一的海底捞门店，标志性的服务和四川火锅底料。适合Stanford参观后的午餐,1.5h,Highway 1 North,从Stanford开车约20min。需提前排号或预约,pending,food,12:30-14:00,Food,No,"https://maps.google.com/?q=10787+S+Blaney+Ave,+Cupertino,+CA+95014"
Sichuan Impression (LA),"1900 W Valley Blvd, Alhambra, CA 91803",川味印象,Los Angeles,Day 5,洛杉矶排名第一的川菜馆，以回锅肉、毛血旺和水煮牛肉闻名。Alhambra华人区，LA Times推荐。比Grand Central Market更正宗的中式晚餐选择,1.5h,Los Angeles,,pending,food,19:00-20:30,Food,No,"https://maps.google.com/?q=1900+W+Valley+Blvd,+Alhambra,+CA+91803"
Verve Coffee (Santa Cruz),"1540 Pacific Ave, Santa Cruz, CA 95060",Verve咖啡,Half Moon Bay,Day 2,Santa Cruz本地精品咖啡品牌，Single Origin拿铁是招牌。Half Moon Bay到Monterey路上的完美中途站,30min,Highway 1 North,,pending,food,09:30-10:00,Food,No,"https://maps.google.com/?q=1540+Pacific+Ave,+Santa+Cruz,+CA+95060"
